horario;hostname;cpu_total;cpu_core_0;cpu_core_1;cpu_core_2;cpu_core_3;cpu_core_4;cpu_core_5;cpu_core_6;cpu_core_7;ram;disco
2026-08-20 10:24:46;Caio;21.4;11.1;33.0;31.3;11.1;19.2;19.0;14.1;32.0;55.2;217.9661979675293
2026-08-20 10:24:56;Caio;1.2;2.0;1.0;2.0;1.0;1.0;2.0;0.0;1.0;54.6;217.9661979675293
2026-08-20 10:25:06;Caio;0.5;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;54.4;217.9661979675293
2026-08-20 10:25:16;Caio;0.8;1.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;54.2;217.9661979675293
2026-08-20 10:25:26;Caio;0.8;2.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;54.1;217.9661979675293
2026-08-20 10:25:36;Caio;0.9;3.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;54.2;217.9661979675293
2026-08-20 10:25:46;Caio;1.0;2.0;0.0;2.0;0.0;2.0;1.0;0.0;1.0;54.2;217.9661979675293
2026-08-20 10:25:56;Caio;0.4;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;54.1;217.9661979675293
2026-08-20 10:26:06;Caio;0.9;2.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;52.3;217.9661979675293
2026-08-20 10:26:16;Caio;0.8;1.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;51.2;217.9661979675293
2026-08-20 10:26:26;Caio;0.6;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;51.3;217.9661979675293
2026-08-20 10:26:36;Caio;9.8;12.0;6.9;10.2;6.2;12.2;10.0;9.9;11.0;52.2;217.9661979675293
2026-08-20 10:26:46;Caio;4.8;10.1;0.0;4.1;0.0;9.1;6.1;5.1;4.0;51.9;217.9661979675293
2026-08-20 10:26:56;Caio;21.9;24.2;16.0;28.6;16.5;25.3;22.2;22.7;19.4;51.9;217.9661979675293
2026-08-20 10:27:06;Caio;0.1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;51.8;217.9661979675293
2026-08-20 10:27:16;Caio;34.5;45.2;29.3;35.4;28.9;35.1;34.3;35.4;32.0;51.9;217.9661979675293
2026-08-20 10:26:56;Caio;21.9;24.2;16.0;28.6;16.5;25.3;22.2;22.7;19.4;51.9;217.9661979675293
2026-08-20 10:27:06;Caio;0.1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;51.8;217.9661979675293
2026-08-20 10:27:16;Caio;34.5;45.2;29.3;35.4;28.9;35.1;34.3;35.4;32.0;51.9;217.9661979675293
2026-08-20 10:26:56;Caio;21.9;24.2;16.0;28.6;16.5;25.3;22.2;22.7;19.4;51.9;217.9661979675293
