horario;hostname;cpu_total;cpu_core_0;cpu_core_1;cpu_core_2;cpu_core_3;cpu_core_4;cpu_core_5;cpu_core_6;cpu_core_7;ram;disco
2026-08-20 10:41:04;Kaue;26.5;33.8;23.4;35.9;18.8;41.5;19.0;21.9;17.5;88.5;930.2001914978027
2026-08-20 10:41:14;Kaue;6.9;9.1;3.1;14.1;6.2;18.2;1.5;0.0;3.1;89.0;930.2001914978027
2026-08-20 10:41:24;Kaue;1.0;0.0;0.0;0.0;0.0;3.1;1.6;1.6;1.6;88.6;930.2001914978027
2026-08-20 10:41:34;Kaue;1.7;1.5;0.0;4.5;0.0;6.2;0.0;0.0;1.6;88.2;930.2001914978027
2026-08-20 10:41:44;Kaue;1.4;1.6;1.6;1.6;0.0;1.6;1.6;1.6;1.6;87.9;930.2001914978027
2026-08-20 10:41:54;Kaue;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;88.0;930.2001914978027
2026-08-20 10:42:04;Kaue;0.6;0.0;0.0;0.0;0.0;0.0;3.1;1.6;0.0;88.1;930.2001914978027
2026-08-20 10:42:14;Kaue;2.4;0.0;1.6;3.1;3.1;3.1;4.7;1.6;1.6;88.1;930.2001914978027
2026-08-20 10:42:24;Kaue;4.1;3.2;4.6;6.2;3.1;3.1;0.0;9.2;3.1;88.1;930.2001914978027
2026-08-20 10:42:34;Kaue;17.1;9.4;18.8;13.8;10.9;15.6;20.0;28.1;20.3;88.4;930.2001914978027
2026-08-20 10:42:44;Kaue;13.1;35.8;6.2;6.2;9.1;12.3;3.1;9.2;23.1;88.1;930.2001914978027
2026-08-20 10:42:54;Kaue;15.2;20.3;10.8;9.4;7.8;10.8;15.9;16.1;30.6;88.0;930.2001914978027
2026-08-20 10:43:04;Kaue;6.3;7.6;1.5;3.1;1.6;1.5;10.9;16.9;7.7;85.1;930.2001914978027
2026-08-20 10:43:14;Kaue;6.0;6.2;1.6;6.2;9.5;12.5;12.3;0.0;0.0;85.3;930.2001914978027
2026-08-20 10:43:24;Kaue;1.2;0.0;0.0;1.6;3.2;1.6;1.6;1.6;0.0;85.2;930.2001914978027
2026-08-20 10:43:34;Kaue;2.2;1.6;1.6;0.0;1.6;0.0;3.1;4.8;4.8;85.2;930.2001914978027
2026-08-20 10:43:45;Kaue;1.7;0.0;3.1;3.1;0.0;1.5;3.1;1.6;1.5;85.2;930.2001914978027
2026-08-20 10:43:55;Kaue;2.1;4.5;1.6;3.1;0.0;4.6;0.0;3.2;0.0;85.2;930.2001914978027
2026-08-20 10:44:05;Kaue;5.4;4.6;1.5;14.1;4.6;7.8;1.5;6.2;3.1;85.3;930.2001914978027
