horario;hostname;cpu_total;cpu_core_0;cpu_core_1;cpu_core_2;cpu_core_3;cpu_core_4;cpu_core_5;cpu_core_6;cpu_core_7;ram;disco
2026-08-20 10:32:05;Leo;19.9;28.1;28.1;26.2;28.1;20.3;22.2;3.2;3.2;93.9;117.1824951171875
2026-08-20 10:32:15;Leo;38.0;42.6;33.8;43.1;32.8;64.1;42.2;20.3;25.0;94.9;117.1824951171875
2026-08-20 10:32:25;Leo;20.3;32.8;30.3;29.7;16.9;13.8;12.5;12.5;14.1;93.9;117.1824951171875
2026-08-20 10:32:35;Leo;15.2;33.8;34.4;20.3;20.3;4.8;4.5;3.1;0.0;93.5;117.1824951171875
2026-08-20 10:32:45;Leo;8.9;24.2;22.7;12.3;7.7;0.0;1.5;1.6;1.6;93.8;117.1824951171875
2026-08-20 10:32:55;Leo;16.5;30.8;30.8;34.4;10.9;7.9;4.7;7.8;4.7;93.5;117.1824951171875
2026-08-20 10:33:05;Leo;7.7;25.8;12.7;3.1;10.8;9.5;0.0;0.0;0.0;93.5;117.1824951171875
2026-08-20 10:33:15;Leo;7.7;18.2;20.0;7.8;7.8;6.2;1.6;0.0;0.0;93.4;117.1824951171875
2026-08-20 10:33:25;Leo;5.0;12.5;20.0;3.1;4.7;0.0;0.0;0.0;0.0;93.4;117.1824951171875
2026-08-20 10:33:35;Leo;7.8;20.3;15.4;11.1;3.1;6.2;6.2;0.0;0.0;93.4;117.1824951171875
2026-08-20 10:33:45;Leo;9.9;14.1;26.2;25.0;12.5;1.6;0.0;0.0;0.0;93.3;117.1824951171875
2026-08-20 10:33:55;Leo;4.2;13.4;9.2;6.2;3.2;1.6;0.0;0.0;0.0;93.4;117.1824951171875
2026-08-20 10:34:05;Leo;5.7;12.5;14.1;12.9;4.8;1.6;0.0;0.0;0.0;91.4;117.1824951171875
2026-08-20 10:34:15;Leo;26.7;38.2;40.6;30.8;36.5;32.4;17.5;12.7;4.8;91.1;117.1824951171875
2026-08-20 10:34:25;Leo;17.7;48.5;36.4;21.6;23.1;4.6;7.7;0.0;0.0;91.3;117.1824951171875
2026-08-20 10:34:35;Leo;22.9;39.1;50.0;49.2;36.9;6.2;1.6;0.0;0.0;91.4;117.1824951171875
2026-08-20 10:34:45;Leo;22.3;37.5;57.8;25.0;36.9;13.8;7.8;0.0;0.0;91.5;117.1824951171875
2026-08-20 10:34:55;Leo;20.6;39.4;27.7;32.8;53.1;9.1;3.1;0.0;0.0;85.4;117.1824951171875
2026-08-20 10:35:05;Leo;40.5;65.3;52.9;60.0;61.5;34.4;26.2;17.2;6.2;86.4;117.1824951171875
2026-08-20 10:35:15;Leo;14.5;37.3;20.0;23.4;15.2;4.5;9.2;3.1;3.1;87.5;117.1824951171875
