horario;hostname;cpu_total;cpu_core_0;cpu_core_1;cpu_core_2;cpu_core_3;cpu_core_4;cpu_core_5;cpu_core_6;cpu_core_7;ram;disco
2026-08-24 09:40:37;Marina;47.4;50.0;53.5;54.5;45.3;48.5;37.1;40.6;50.0;83.9;43.3
2026-08-24 09:40:47;Marina;44.5;47.1;43.9;43.1;36.9;42.2;52.3;53.8;36.5;82.6;43.3
2026-08-24 09:40:57;Marina;12.4;28.4;11.8;16.7;16.4;9.2;3.1;12.3;1.5;82.5;43.3
2026-08-24 09:41:07;Marina;25.8;44.9;16.4;27.7;19.4;24.6;18.8;32.8;22.2;81.1;43.3
2026-08-24 09:41:17;Marina;8.8;17.9;9.2;6.2;7.7;10.8;6.2;9.4;3.1;80.7;43.3
2026-08-24 09:41:27;Marina;7.3;16.4;6.2;9.4;0.0;4.7;9.1;9.4;3.1;80.6;43.4
2026-08-24 09:41:37;Marina;9.8;27.1;3.2;12.5;10.9;6.3;9.4;6.3;3.1;80.6;43.4
2026-08-24 09:41:47;Marina;5.7;16.2;4.6;4.7;6.3;4.8;4.7;3.1;1.5;80.4;43.4
2026-08-24 09:41:57;Marina;17.4;35.3;10.6;19.7;19.1;10.8;10.6;21.2;11.9;81.2;43.4
2026-08-24 09:42:07;Marina;8.4;21.7;7.8;10.9;10.8;6.2;3.2;4.7;1.6;81.2;43.4
2026-08-24 09:42:17;Marina;23.9;43.8;10.9;23.4;27.3;26.6;13.8;23.4;21.9;81.7;43.4
2026-08-24 09:42:27;Marina;15.4;20.9;18.5;26.2;12.3;12.5;12.5;14.1;6.2;81.9;43.4
2026-08-24 09:42:37;Marina;13.0;34.7;12.3;14.1;12.1;10.8;3.2;12.1;4.5;81.7;43.4
2026-08-24 09:42:47;Marina;14.3;27.1;10.9;18.8;9.4;20.3;10.8;12.5;4.8;81.7;43.4
2026-08-24 09:42:57;Marina;27.4;47.3;19.0;23.4;27.7;26.6;21.9;32.8;20.6;81.7;43.4
2026-08-24 09:43:07;Marina;23.8;36.2;18.8;32.8;23.1;26.2;10.9;35.9;6.2;81.5;43.4
2026-08-24 09:43:17;Marina;14.7;24.6;7.9;22.7;11.1;12.3;14.1;20.3;4.6;81.7;43.4
2026-08-24 09:43:27;Marina;21.2;37.5;19.7;18.5;24.6;27.3;21.9;12.5;7.9;81.6;43.4
2026-08-24 09:43:37;Marina;15.8;27.9;7.7;27.3;18.8;16.9;7.7;17.2;3.2;81.7;43.4
2026-08-24 09:43:47;Marina;17.6;38.9;9.4;23.1;13.4;17.2;10.9;20.0;7.7;81.8;43.4
2026-08-24 09:43:57;Marina;16.9;36.6;15.2;17.2;15.6;20.0;7.8;6.2;16.9;81.7;43.4
2026-08-24 09:44:07;Marina;10.1;20.3;3.1;13.8;6.2;12.5;12.1;7.8;4.6;81.8;43.4
2026-08-24 09:44:17;Marina;5.7;9.0;7.5;7.7;4.7;3.1;7.7;3.1;3.0;81.0;43.4
2026-08-24 09:44:27;Marina;11.1;19.1;9.4;15.4;12.5;14.1;4.7;10.8;3.1;80.9;43.4
2026-08-24 09:44:37;Marina;10.5;22.4;9.4;12.3;1.5;18.5;10.6;7.5;1.5;80.9;43.4
2026-08-24 09:44:47;Marina;5.7;14.7;6.2;4.7;9.2;3.1;4.7;3.1;0.0;80.9;43.4
2026-08-24 09:44:57;Marina;6.6;14.7;7.7;10.9;1.5;3.1;6.1;9.2;0.0;80.8;43.4
2026-08-24 09:45:07;Marina;18.2;28.8;9.2;36.9;18.5;13.8;10.9;10.8;16.9;81.1;43.4
2026-08-24 09:45:17;Marina;5.3;9.0;4.7;6.2;1.5;6.2;13.4;1.6;0.0;81.1;43.4
2026-08-24 09:45:27;Marina;14.4;25.0;4.6;10.9;13.2;29.2;16.9;7.8;7.7;81.4;43.4
2026-08-24 09:45:37;Marina;8.8;10.6;1.6;10.9;7.7;10.6;10.8;12.3;6.1;82.2;43.4
2026-08-24 09:45:47;Marina;10.0;19.1;10.8;6.2;12.3;14.1;3.1;9.4;4.7;82.2;43.4
2026-08-24 09:45:57;Marina;2.5;4.6;6.2;3.1;0.0;3.1;1.6;1.6;0.0;82.0;43.4
2026-08-24 09:46:07;Marina;6.1;9.1;9.2;3.1;3.1;6.2;9.1;3.1;5.9;81.8;43.4
2026-08-24 09:46:17;Marina;18.4;27.1;7.8;18.2;21.9;27.7;10.9;16.9;16.4;81.8;43.4
2026-08-24 09:46:27;Marina;12.9;29.6;12.1;14.1;7.8;15.4;12.3;6.2;5.8;81.8;43.4
2026-08-24 09:46:37;Marina;15.1;38.2;3.1;17.2;9.4;26.5;7.7;14.1;4.5;82.3;43.4
2026-08-24 09:46:47;Marina;5.6;9.2;1.6;9.4;4.6;12.3;6.2;1.5;0.0;82.0;43.4
2026-08-24 09:46:57;Marina;19.2;28.2;10.9;30.8;18.2;21.5;10.9;21.9;10.9;82.8;43.4
2026-08-24 09:47:07;Marina;20.4;25.0;15.4;28.1;15.4;30.4;16.9;24.6;7.7;82.1;43.4
2026-08-24 09:47:17;Marina;3.8;11.8;1.5;3.1;4.7;4.6;3.1;1.6;0.0;82.1;43.4
